Możliwa droga przenikania,Droga:
"Krótki opis, dlaczego jest rozważana jako droga przenikania",???
"Czy droga przenikania jest zakazana na obszarze PRA?",???
"Czy agrofag był już przechwycony tą drogą przenikania?",???
"Jakie stadium jest najbardziej prawdopodobnie związane z tą drogą przenikania?",???
"Jakie są ważne czynniki związane z tą drogą przenikania?",???
"Czy agrofag może przeżyć transport i składowanie w tej drodze przenikania?",???
"Czy agrofag może zostać przeniesiony z tej drogi przenikania na odpowiednie siedlisko?",???
"Czy wielkość przemieszczania tą drogą przenikania sprzyja wejściu agrofaga?",???
"Czy częstotliwość przemieszczania tą drogą przenikania sprzyja wejściu agrofaga?",???
"Ocena prawdopodobieństwa wejścia",Niskie/Średnie/Wysokie
"Ocena niepewności",Niska/Średnia/Wysoka
